T	N	tau	tau_std	N_sweeps	N_sweeps_eq	t_sample	system	calculation_method	N_resamples
2.26919	2	0.991475737644815	0.003539826100518213	500000	50000	1	torus	bootstrap	700
2.26919	4	0.5463959698316038	0.0049926359679947265	500000	50000	1	torus	bootstrap	700
2.26919	6	0.36305087966770255	0.007528855572447794	500000	50000	1	torus	bootstrap	700
2.26919	8	0.27180679402662195	0.01149411899898685	500000	50000	1	torus	bootstrap	700
2.26919	10	0.22363712072492903	0.02150086548183435	500000	50000	1	torus	bootstrap	700
2.26919	15	0.21342154578954559	0.024994417632356707	500000	50000	1	torus	bootstrap	700
2.26919	20	0.19915243488327278	0.018955388563061212	500000	50000	1	torus	bootstrap	700
2.26919	2	0.7006264665829885	0.004053243150076226	500000	50000	1	pp	bootstrap	700
2.26919	4	0.5472210258749958	0.006357067866173055	500000	50000	1	pp	bootstrap	700
2.26919	6	0.4173145492482239	0.010059092693650538	500000	50000	1	pp	bootstrap	700
2.26919	8	0.34778925981560493	0.020488099306123296	500000	50000	1	pp	bootstrap	700
2.26919	10	0.30019058731172	0.04029521722381467	500000	50000	1	pp	bootstrap	700
2.26919	15	0.24952643479668807	0.06294421663302437	500000	50000	1	pp	bootstrap	700
2.26919	20	0.6858729249140809	0.03828727464675229	500000	50000	1	pp	bootstrap	700
2.26919	40	0.9715068409245303	0.01784889886881325	1000000	100000	1	pp	bootstrap	700
2.26919	50	1.0244107286015796	0.01590917084301795	1000000	100000	1	pp	bootstrap	700
2.26919	40	0.15758904185680217	0.012126597365314842	1000000	100000	1	torus	bootstrap	700
2.26919	50	0.1291188133384158	0.03081335527887247	1000000	100000	1	torus	bootstrap	700
